GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,Reference,Playstyle,GAD_T,SWL_T,SPIN_T,Residence_ISO3,Label
0,0,0,0,0,0,0,2,7,7,7,5,7,6,1,0.22727272727272727,1,1,11,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.15555555555555556,0,0,2,2,0.0,0.9333333333333335,0.044117647058823525,102,1
0,0,0,0,0,0,0,2,6,6,7,6,6,7,1,0.09090909090909091,1,2,28,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1,0.0,1,1,2,2,0.0,0.8666666666666666,0.3382352941176471,102,1
0,0,1,0,0,1,1,2,6,7,3,6,4,7,0,0.22727272727272727,1,3,11,0.01,0.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0222222222222222,2,1,2,2,0.14285714285714285,0.7000000000000001,0.4264705882352941,102,4
0,0,0,1,0,1,0,1,2,4,3,2,2,7,1,0.2727272727272727,1,1,26,0.05,2.0,1.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1,0.37777777777777777,0,1,2,3,0.09523809523809523,0.2666666666666667,0.4852941176470588,15,0
3,1,2,1,0,1,0,2,5,6,6,5,6,7,1,0.12727272727272726,1,1,48,0.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1,0.0,1,1,2,4,0.38095238095238093,0.7666666666666667,0.4411764705882353,3,2
1,0,1,1,0,1,0,1,3,3,3,3,3,7,0,0.03636363636363636,1,1,48,0.05,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,0,0.1333333333333333,3,0,2,0,0.19047619047619047,0.33333333333333337,0.5294117647058824,35,4
1,1,1,2,2,1,0,2,1,1,1,1,2,8,1,0.09090909090909091,1,3,11,0.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1,0.24444444444444446,3,1,2,4,0.38095238095238093,0.033333333333333354,0.5294117647058824,102,0
0,0,0,0,0,0,0,1,6,6,6,7,6,7,0,0.05454545454545454,1,3,11,0.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0888888888888889,0,0,2,3,0.0,0.8666666666666666,0.16176470588235295,48,1
1,0,0,0,0,0,1,1,1,6,1,3,5,7,0,0.06363636363636363,1,1,48,0.0,1.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0.04444444444444445,0,1,2,4,0.09523809523809523,0.3666666666666667,0.38235294117647056,31,4
3,3,3,2,0,1,3,0,1,1,1,2,4,9,1,0.5454545454545454,1,2,7,0.1,0.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1,0.1333333333333333,1,1,1,1,0.7142857142857142,0.13333333333333333,0.5441176470588235,23,3
0,0,0,1,1,1,0,1,5,7,7,7,5,7,1,0.09090909090909091,1,1,48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1,0.33333333333333337,0,4,2,4,0.14285714285714285,0.8666666666666666,0.07352941176470588,15,1
0,0,0,0,0,0,0,2,7,7,7,7,7,10,1,0.1909090909090909,1,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.5111111111111111,0,0,2,2,0.0,1.0,0.0,35,1
1,1,1,2,1,2,2,2,1,2,2,2,1,7,1,0.18181818181818182,1,1,48,0.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0,0.15555555555555556,3,0,2,2,0.47619047619047616,0.1,0.6911764705882353,35,3
1,0,0,1,0,1,1,2,1,1,2,2,1,7,1,0.1909090909090909,1,1,29,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,1,0.1777777777777778,3,2,2,4,0.19047619047619047,0.06666666666666668,0.29411764705882354,70,0
0,0,0,0,0,0,0,1,4,3,3,3,3,8,1,0.18181818181818182,1,1,28,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,0,0.04444444444444445,1,1,2,4,0.0,0.3666666666666667,0.5735294117647058,35,4
1,0,1,1,0,1,1,2,6,6,6,3,5,6,1,0.045454545454545456,1,1,2,0.05,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,1,0.4,0,0,2,3,0.23809523809523808,0.7000000000000001,0.45588235294117646,85,1
1,0,2,1,0,0,0,1,5,6,4,4,5,7,0,0.36363636363636365,1,1,28,0.02,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1,0.0222222222222222,1,1,2,2,0.19047619047619047,0.6333333333333334,0.22058823529411764,102,4
0,0,0,0,0,1,0,1,5,6,6,6,2,7,1,0.05454545454545454,1,1,48,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1,0.0,2,3,2,0,0.047619047619047616,0.6666666666666667,0.1764705882352941,102,1
1,0,1,1,1,2,0,1,5,5,3,2,1,7,1,0.08181818181818182,1,1,48,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1,0.0,2,3,2,1,0.2857142857142857,0.3666666666666667,0.20588235294117646,102,4
3,3,3,3,2,0,1,0,1,1,2,2,2,7,1,0.16363636363636364,1,1,28,0.04,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1,0.04444444444444445,1,1,2,4,0.7142857142857142,0.1,0.6764705882352942,93,3
1,0,1,0,0,0,0,1,5,5,6,6,5,7,1,0.07272727272727272,1,1,28,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1,0.1777777777777778,0,0,2,3,0.09523809523809523,0.7333333333333334,0.16176470588235295,15,1
0,0,0,0,0,0,0,2,5,2,6,7,6,6,1,0.08181818181818182,1,2,43,0.02,2.0,2.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,4.0,0,0.11111111111111116,0,1,2,2,0.0,0.7000000000000001,0.5735294117647058,35,1
0,0,0,0,0,2,0,2,5,6,6,6,2,9,1,0.05454545454545454,1,4,11,0.08,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,0,0.0888888888888889,3,1,3,3,0.09523809523809523,0.6666666666666667,0.8823529411764706,35,2
0,0,0,0,0,1,0,1,2,4,6,6,3,6,1,0.06363636363636363,1,1,11,0.04,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1,0.15555555555555556,1,2,2,3,0.047619047619047616,0.5333333333333333,0.4264705882352941,102,1
1,1,0,0,0,1,1,2,5,5,5,3,6,7,1,0.16363636363636364,1,1,28,0.03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0,0.0888888888888889,1,1,2,2,0.19047619047619047,0.6333333333333334,0.20588235294117646,39,4
2,2,2,2,2,2,2,2,3,4,2,2,2,7,0,0.16363636363636364,1,2,11,0.01,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1,0.1333333333333333,1,1,2,4,0.6666666666666666,0.2666666666666667,0.19117647058823528,102,0
2,1,1,2,0,0,1,2,2,2,2,2,3,7,0,0.09090909090909091,1,1,25,0.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,0,0.1333333333333333,1,1,2,4,0.3333333333333333,0.19999999999999998,0.6029411764705882,15,0
0,0,1,2,1,1,0,2,6,7,6,5,3,7,1,0.18181818181818182,1,1,28,0.04,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1,0.06666666666666665,1,2,2,4,0.23809523809523808,0.7333333333333334,0.11764705882352941,48,1
2,2,2,2,2,2,2,3,3,6,4,2,2,7,1,0.09090909090909091,1,1,25,0.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,2.0,0,0.0,1,1,2,4,0.6666666666666666,0.4,0.3529411764705882,102,2
1,1,1,0,0,1,0,2,2,2,4,4,3,7,1,0.09090909090909091,1,1,48,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2,1,2,3,0.19047619047619047,0.33333333333333337,0.1323529411764706,35,4
0,0,0,0,0,0,0,1,5,3,5,5,5,7,1,0.10909090909090909,1,1,48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0.19999999999999996,0,0,2,3,0.0,0.6,0.014705882352941176,102,1
1,1,1,1,0,2,1,2,3,4,4,2,2,0,1,0.06363636363636363,1,1,11,0.02,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1,0.06666666666666665,1,1,2,2,0.3333333333333333,0.33333333333333337,0.25,102,4
2,1,2,2,2,2,2,2,6,7,6,6,3,7,0,0.045454545454545456,1,4,11,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.1333333333333333,1,0,2,2,0.6190476190476191,0.7666666666666667,0.044117647058823525,15,1
2,1,3,1,0,1,0,2,1,4,2,2,5,0,1,0.1909090909090909,1,4,11,0.1,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,3.0,1,0.04444444444444445,1,1,2,1,0.38095238095238093,0.30000000000000004,0.5588235294117647,35,0
1,1,0,0,1,2,0,2,6,5,3,3,5,7,1,0.03636363636363636,1,2,28,0.2,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,1,0.0,2,1,2,4,0.23809523809523808,0.5666666666666667,0.4411764705882353,102,2
2,2,2,1,0,0,0,2,2,4,4,5,5,7,1,0.18181818181818182,1,3,28,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0,0.15555555555555556,0,0,2,4,0.3333333333333333,0.5,0.3529411764705882,102,4
2,2,2,2,1,0,2,3,2,2,1,3,2,6,1,0.22727272727272727,1,2,48,0.35000000000000003,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1,0.0,1,1,2,3,0.5238095238095237,0.16666666666666666,0.25,102,3
1,1,1,0,1,0,0,2,3,4,4,3,2,7,0,0.16363636363636364,1,1,29,0.1,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,1,0.0,1,3,2,4,0.19047619047619047,0.3666666666666667,0.29411764705882354,102,4
1,0,1,0,0,0,0,1,5,5,5,2,3,7,1,0.13636363636363635,1,2,11,0.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1,0.0,1,1,2,2,0.09523809523809523,0.5,0.1764705882352941,98,4
0,0,0,0,0,1,0,1,1,1,6,1,4,6,1,0.09090909090909091,1,1,26,0.02,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.2222222222222222,3,0,2,2,0.047619047619047616,0.2666666666666667,0.16176470588235295,35,4
0,0,0,0,1,1,0,2,5,6,5,6,6,7,1,0.2727272727272727,1,1,48,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0,0.06666666666666665,1,1,2,4,0.09523809523809523,0.7666666666666667,0.29411764705882354,102,1
2,2,2,1,0,1,0,2,6,6,5,5,6,7,0,0.09999999999999999,1,1,48,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0,0.0888888888888889,1,1,2,3,0.38095238095238093,0.7666666666666667,0.25,102,1
0,0,0,0,0,0,0,1,6,7,6,5,2,0,1,0.2727272727272727,1,2,43,0.02,1.0,0.0,3.0,2.0,3.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1,0.0,2,3,2,2,0.0,0.7000000000000001,0.20588235294117646,35,4
0,0,0,0,0,0,0,1,6,6,6,6,7,7,0,0.09090909090909091,1,1,29,0.03,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1,0.1333333333333333,1,2,2,0,0.0,0.8666666666666666,0.08823529411764705,102,1
0,1,1,1,0,0,3,2,2,2,1,1,1,7,1,0.18181818181818182,1,1,48,0.05,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.04444444444444445,3,1,2,1,0.2857142857142857,0.06666666666666668,0.19117647058823528,15,0
0,0,0,0,0,0,0,2,6,6,7,6,5,7,1,0.36363636363636365,1,1,28,0.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,1.0,1,0.19999999999999996,0,0,2,4,0.0,0.8333333333333334,0.5147058823529411,93,1
1,0,1,0,0,2,0,1,5,6,6,4,4,0,1,0.16363636363636364,2,2,11,0.18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,0.0,1,1,2,3,0.19047619047619047,0.6666666666666667,0.058823529411764705,102,1
2,0,1,2,2,2,0,2,5,7,6,7,2,10,1,0.045454545454545456,1,1,48,0.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,0,0.2666666666666667,0,2,2,3,0.42857142857142855,0.7333333333333334,0.5588235294117647,23,2
2,2,3,2,2,2,2,3,3,3,4,3,4,7,0,0.22727272727272727,1,1,48,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0,0.0,2,3,2,3,0.7142857142857142,0.4,0.47058823529411764,35,3
3,3,2,3,1,3,3,3,1,1,1,2,1,7,1,0.00909090909090909,1,3,11,0.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0,0.0,1,1,2,4,0.8571428571428571,0.033333333333333354,0.9411764705882353,102,3
2,3,3,3,3,3,2,3,2,4,2,1,1,7,0,0.12727272727272726,1,3,11,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,1,0.0888888888888889,1,0,2,4,0.9047619047619047,0.16666666666666666,0.9411764705882353,102,3
1,1,1,0,0,2,1,1,5,7,6,3,7,7,1,0.01818181818181818,1,3,11,0.01,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,0,0.1333333333333333,1,0,2,4,0.2857142857142857,0.7666666666666667,0.3676470588235294,5,1
1,1,1,0,0,0,0,2,5,5,5,5,4,1,0,0.10909090909090909,1,4,11,0.02,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1,0.0,1,1,2,1,0.14285714285714285,0.6333333333333334,0.16176470588235295,102,1
0,0,0,0,0,0,0,2,6,7,7,7,4,7,1,0.36363636363636365,1,1,49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0222222222222222,2,1,2,2,0.0,0.8666666666666666,0.20588235294117646,102,1
1,0,1,2,1,1,1,1,2,4,3,5,2,7,1,0.09090909090909091,1,2,11,0.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1,0.48888888888888893,0,1,2,4,0.3333333333333333,0.3666666666666667,0.7941176470588235,15,2
0,0,0,0,0,0,0,1,5,5,5,5,5,7,1,0.09090909090909091,1,1,48,0.01,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0,1,1,2,3,0.0,0.6666666666666667,1.0,102,2
2,2,2,2,1,0,1,1,7,7,7,7,7,0,1,0.06363636363636363,1,1,48,0.03,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1,0.0222222222222222,1,1,2,4,0.47619047619047616,1.0,0.3088235294117647,102,1
3,2,3,3,0,3,2,0,2,5,3,2,2,7,1,0.09090909090909091,1,4,11,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.1333333333333333,1,0,2,3,0.7619047619047619,0.30000000000000004,0.8970588235294118,15,3
2,3,3,2,3,3,3,1,6,6,7,6,4,6,1,0.22727272727272727,1,2,19,0.05,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,5.0,1,0.0,2,1,2,2,0.9047619047619047,0.8,0.6911764705882353,62,2
2,2,2,2,1,1,1,2,3,4,3,3,3,7,1,0.22727272727272727,1,1,48,0.05,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.04444444444444445,1,1,2,4,0.5238095238095237,0.3666666666666667,0.22058823529411764,102,0
0,0,0,0,0,0,0,1,6,6,6,5,4,7,1,0.09090909090909091,1,2,11,0.02,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1,0.11111111111111116,1,0,2,2,0.0,0.7333333333333334,0.5294117647058824,4,1
0,0,1,1,1,0,1,2,5,5,5,5,2,7,1,0.2727272727272727,1,1,49,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0.06666666666666665,1,0,2,1,0.19047619047619047,0.5666666666666667,0.0,35,4
2,1,1,1,0,1,2,2,4,5,4,3,1,6,1,0.18181818181818182,1,2,11,0.05,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1,0.0222222222222222,1,1,2,2,0.38095238095238093,0.4,0.3676470588235294,3,0
3,3,3,3,3,3,3,3,2,1,4,2,3,6,1,0.36363636363636365,1,4,11,0.2,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,1,0.06666666666666665,2,1,2,1,1.0,0.23333333333333336,0.6617647058823529,102,3
0,0,0,0,0,0,0,2,5,5,6,4,5,7,1,0.045454545454545456,1,1,48,0.08,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0222222222222222,1,1,2,3,0.0,0.6666666666666667,0.19117647058823528,35,1
2,2,2,2,0,1,1,2,5,2,6,7,2,7,0,0.22727272727272727,1,1,48,0.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,0,0.3555555555555555,3,2,2,4,0.47619047619047616,0.5666666666666667,0.5588235294117647,102,2
1,2,2,0,2,1,1,1,2,3,5,7,7,7,0,0.09090909090909091,1,1,48,0.05,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1,0.0222222222222222,1,1,2,4,0.42857142857142855,0.6333333333333334,0.07352941176470588,102,1
0,0,0,0,0,0,0,1,6,6,6,6,5,7,2,0.045454545454545456,1,1,48,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1,0.7111111111111111,0,2,2,4,0.0,0.8,0.10294117647058823,54,1
3,3,3,3,2,3,1,3,2,3,4,3,3,6,1,0.09090909090909091,1,2,2,0.05,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,0,0.04444444444444445,0,1,2,3,0.8571428571428571,0.33333333333333337,0.4411764705882353,102,3
2,1,1,1,1,1,0,2,5,4,2,4,5,7,1,0.18181818181818182,1,1,48,0.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,0,0.06666666666666665,1,1,2,2,0.3333333333333333,0.5,0.4411764705882353,15,2
