GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,Birthplace,Playstyle,GAD_T,SWL_T,SPIN_T,Residence_ISO3
0,0,0,0,0,0,0,7,7,7,5,7,League of Legends,PC,25.0,I play for fun,having fun,Gold,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,25,Employed,Bachelor,USA,Multiplayer,0,33,3.0,USA
0,0,0,0,0,0,0,6,6,7,6,6,Other,PC,10.0,I play for fun,improving,Unranked,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,Male,18,Student at college / university,High School,USA,Multiplayer,0,31,23.0,USA
0,0,1,0,0,1,1,6,7,3,6,4,Other,"Console (PS, Xbox, ...)",25.0,I play for fun,relaxing,Gold,1.0,0.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,19,Student at school,High School,USA,Multiplayer,3,26,29.0,USA
0,0,0,1,0,1,0,2,4,3,2,2,Other,PC,30.0,I play for fun,having fun,Unranked,5.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,Male,35,Employed,High School,Canada,Multiplayer,2,13,33.0,CAN
3,1,2,1,0,1,0,5,6,6,5,6,Other,PC,14.0,I play for fun,having fun,Unranked,0.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,Male,18,Student at college / university,High School,Australia,Singleplayer,8,28,30.0,AUS
1,0,1,1,0,1,0,3,3,3,3,3,Other,"Console (PS, Xbox, ...)",4.0,I play for fun,having fun,Unranked,5.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,Female,24,Unemployed / between jobs,Bachelor,UK,Multiplayer,4,15,36.0,GBR
0,0,0,0,0,0,1,5,2,4,6,2,Other,PC,20.0,I play for fun,Other,Unranked,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,30,Employed,Bachelor,Bosnia and Herzegovina,Singleplayer,1,19,8.0,BIH
1,1,1,2,2,1,0,1,1,1,1,2,Skyrim,PC,10.0,I play for fun,relaxing,Gold,0.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,Male,29,Unemployed / between jobs,High School,Germany,Singleplayer,8,6,36.0,USA
0,0,0,0,0,0,0,6,6,6,7,6,Other,"Console (PS, Xbox, ...)",6.0,I play for fun,relaxing,Gold,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Male,22,Employed,Bachelor,UK,Multiplayer,0,31,11.0,IRL
1,0,0,0,0,0,1,1,6,1,3,5,Other,"Console (PS, Xbox, ...)",7.0,I play for fun,having fun,Unranked,0.0,1.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,Female,20,Employed,High School,Finland,Singleplayer,2,16,26.0,FIN
0,0,0,1,1,1,0,5,7,7,7,5,Other,PC,10.0,I play for fun,having fun,Unranked,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,Male,33,Employed,Ph.D,Canada,Singleplayer,3,31,5.0,CAN
0,0,0,0,0,0,0,7,7,7,7,7,World of Warcraft,PC,21.0,I play for fun,having fun,Unranked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,41,Employed,Bachelor,UK,Multiplayer,0,35,0.0,GBR
1,1,1,2,1,2,2,1,2,2,2,1,Other,PC,20.0,I play for fun,having fun,Unranked,0.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,Female,25,Unemployed / between jobs,Bachelor,UK,Multiplayer,10,8,47.0,GBR
1,0,0,1,0,1,1,1,1,2,2,1,Other,PC,21.0,I play for fun,having fun,Unranked,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,Male,26,Unemployed / between jobs,Masters,South Korea,Singleplayer,4,7,20.0,MYS
0,0,0,0,0,0,0,4,3,3,3,3,Skyrim,PC,20.0,I play for fun,having fun,Unranked,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,Female,20,Student at college / university,High School,UK,Singleplayer,0,16,39.0,GBR
1,0,1,1,0,1,1,6,6,6,3,5,League of Legends,PC,5.0,I play for fun,having fun,Unranked,5.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,Male,36,Employed,Bachelor,Romania,Multiplayer,5,26,31.0,ROU
1,0,2,1,0,0,0,5,6,4,4,5,Other,"Console (PS, Xbox, ...)",40.0,I play for fun,having fun,Unranked,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,Male,19,Student at college / university,High School,USA,Multiplayer,4,24,15.0,USA
0,0,0,0,0,1,0,5,6,6,6,2,Other,PC,6.0,I play for fun,having fun,Unranked,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,Male,18,Student at school,None,USA,Multiplayer,1,25,12.0,USA
1,0,1,1,1,2,0,5,5,3,2,1,Other,PC,9.0,I play for fun,having fun,Unranked,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,Male,18,Student at school,None,USA,Multiplayer,6,16,14.0,USA
3,3,3,3,2,0,1,1,1,2,2,2,Other,PC,18.0,I play for fun,having fun,Unranked,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,Male,20,Student at college / university,High School,Sweden,Singleplayer,15,8,46.0,SWE
1,0,1,0,0,0,0,5,5,6,6,5,Other,PC,8.0,I play for fun,having fun,Unranked,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,Male,26,Employed,Bachelor,Canada,Multiplayer,2,27,11.0,CAN
0,0,0,0,0,0,0,5,2,6,7,6,League of Legends,PC,9.0,I play for fun,improving,Silver,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,4.0,Female,23,Employed,High School,UK,Multiplayer,0,26,39.0,GBR
0,0,0,0,0,2,0,5,6,6,6,2,Starcraft 2,PC,6.0,I play for fun,winning,Gold,8.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,Female,22,Unemployed / between jobs,High School,UK,Multiplayer,2,25,60.0,GBR
0,0,0,0,0,1,0,2,4,6,6,3,League of Legends,PC,7.0,I play for fun,having fun,Gold,4.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,Male,25,Student at college / university,Masters,USA,Multiplayer,1,21,29.0,USA
1,1,0,0,0,1,1,5,5,5,3,6,Other,PC,18.0,I play for fun,having fun,Unranked,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,Female,22,Student at college / university,High School,Greece,Multiplayer,4,24,10.0,GRC
2,2,2,2,2,2,2,3,4,2,2,2,Other,"Console (PS, Xbox, ...)",18.0,I play for fun,improving,Gold,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,Male,24,Student at college / university,High School,USA,Singleplayer,14,13,13.0,USA
2,1,1,2,0,0,1,2,2,2,2,3,Other,"Console (PS, Xbox, ...)",10.0,I play for fun,having fun,Unranked,0.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,Female,24,Student at college / university,High School,Canada,Singleplayer,7,11,41.0,CAN
0,0,1,2,1,1,0,6,7,6,5,3,Other,PC,20.0,I play for fun,having fun,Unranked,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Male,21,Student at college / university,Masters,Ireland,Singleplayer,5,27,8.0,IRL
2,2,2,2,2,2,2,3,6,4,2,2,Other,PC,10.0,I play for fun,having fun,Unranked,0.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,2.0,Female,18,Student at college / university,High School,Switzerland,Singleplayer,14,17,24.0,USA
1,1,1,0,0,1,0,2,2,4,4,3,Other,PC,10.0,I play for fun,having fun,Unranked,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,18,Student at school,High School,UK,Multiplayer,4,15,9.0,GBR
0,0,0,0,0,0,0,5,3,5,5,5,Other,PC,12.0,I play for fun,having fun,Unranked,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,27,Employed,Bachelor,USA,Multiplayer,0,23,1.0,USA
1,1,1,1,0,2,1,3,4,4,2,2,Counter Strike,PC,7.0,I play for fun,having fun,Gold,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Male,21,Student at college / university,High School,USA,Multiplayer,7,15,17.0,USA
2,1,2,2,2,2,2,6,7,6,6,3,Other,"Console (PS, Xbox, ...)",5.0,I play for fun,winning,Gold,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,24,Student at college / university,Bachelor,Canada,Multiplayer,13,28,3.0,CAN
2,1,3,1,0,1,0,1,4,2,2,5,Counter Strike,PC,20.0,I play for fun,winning,Unranked,10.0,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,3.0,Male,20,Student at college / university,High School,UK,Multiplayer,8,14,38.0,GBR
1,1,0,0,1,2,0,6,5,3,3,5,Other,PC,4.0,I play for fun,improving,Unranked,20.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,Male,18,Student at school,High School,USA,Singleplayer,5,22,30.0,USA
2,2,2,1,0,0,0,2,4,4,5,5,Other,PC,20.0,I play for fun,relaxing,Unranked,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,Female,25,Employed,Bachelor,USA,Singleplayer,7,20,24.0,USA
2,2,2,2,1,0,2,2,2,1,3,2,League of Legends,PC,25.0,I play for fun,improving,Unranked,35.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,Male,18,Student at college / university,High School,USA,Multiplayer,11,10,17.0,USA
1,1,1,0,1,0,0,3,4,4,3,2,Other,"Console (PS, Xbox, ...)",18.0,I play for fun,having fun,Unranked,10.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,Male,18,Student at college / university,None,USA,Singleplayer,4,16,20.0,USA
1,0,1,0,0,0,0,5,5,5,2,3,Other,PC,15.0,I play for fun,improving,Gold,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,18,Student at college / university,High School,Turkey,Multiplayer,2,20,12.0,TUR
0,0,0,0,0,1,0,1,1,6,1,4,League of Legends,PC,10.0,I play for fun,having fun,Unranked,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,28,Unemployed / between jobs,Bachelor,UK,Multiplayer,1,13,11.0,GBR
0,0,0,0,1,1,0,5,6,5,6,6,Other,PC,30.0,I play for fun,having fun,Unranked,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,Female,21,Student at college / university,High School,USA,Singleplayer,2,28,20.0,USA
2,2,2,1,0,1,0,6,6,5,5,6,Other,"Console (PS, Xbox, ...)",11.0,I play for fun,having fun,Unranked,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,Female,22,Student at college / university,High School,USA,Multiplayer,8,28,17.0,USA
0,0,0,0,0,0,0,6,7,6,5,2,Counter Strike,PC,30.0,I play for fun,improving,Silver,2.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,18,Student at school,None,Bulgaria,Multiplayer,0,26,24.0,GBR
0,0,0,0,0,0,0,6,6,6,6,7,Other,"Console (PS, Xbox, ...)",10.0,I play for fun,having fun,Unranked,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Male,24,Student at college / university,Masters,USA,Multiplayer,0,31,6.0,USA
0,1,1,1,0,0,3,2,2,1,1,1,Other,PC,20.0,I play for fun,having fun,Unranked,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,Male,20,Unemployed / between jobs,High School,Canada,Multiplayer,6,7,13.0,CAN
0,0,0,0,0,0,0,6,6,7,6,5,Other,PC,40.0,I play for fun,having fun,Unranked,0.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,1.0,Male,27,Employed,Bachelor,Sweden,Singleplayer,0,30,35.0,SWE
1,0,1,0,0,2,0,5,6,6,4,4,Counter Strike,PC,18.0,To earn,improving,Gold,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Male,18,Student at college / university,High School,USA,Multiplayer,4,25,4.0,USA
2,0,1,2,2,2,0,5,7,6,7,2,World of Warcraft,PC,5.0,I play for fun,having fun,Unranked,0.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,Female,30,Employed,Masters,USA,Multiplayer,9,27,38.0,DEU
2,2,3,2,2,2,2,3,3,4,3,4,Other,"Console (PS, Xbox, ...)",25.0,I play for fun,having fun,Unranked,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,Female,18,Student at school,None,UK,Multiplayer,15,17,32.0,GBR
3,3,2,3,1,3,3,1,1,1,2,1,Other,PC,1.0,I play for fun,relaxing,Gold,0.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,Female,18,Student at college / university,High School,UK,Singleplayer,18,6,64.0,USA
2,3,3,3,3,3,2,2,4,2,1,1,Other,"Console (PS, Xbox, ...)",14.0,I play for fun,relaxing,Gold,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,Male,22,Student at college / university,Bachelor,USA,Singleplayer,19,10,64.0,USA
1,1,1,0,0,2,1,5,7,6,3,7,Other,PC,2.0,I play for fun,relaxing,Unranked,1.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,Female,24,Student at college / university,Bachelor,Belgium,Singleplayer,6,28,25.0,BEL
1,1,1,0,0,0,0,5,5,5,5,4,Destiny,"Console (PS, Xbox, ...)",12.0,I play for fun,winning,Gold,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,Male,18,Student at college / university,High School,USA,Multiplayer,3,24,11.0,USA
1,0,1,2,1,1,1,2,4,3,5,2,Other,PC,10.0,I play for fun,improving,Gold,0.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,Male,40,Employed,High School,Canada,Singleplayer,7,16,54.0,CAN
0,0,0,0,0,0,0,5,5,5,5,5,Other,PC,10.0,I play for fun,having fun,Unranked,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,Male,18,Student at college / university,High School,USA,Multiplayer,0,25,68.0,USA
2,2,2,2,1,0,1,7,7,7,7,7,Counter Strike,PC,7.0,I play for fun,having fun,Unranked,3.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,Male,19,Student at college / university,High School,USA,Singleplayer,10,35,21.0,USA
0,0,0,0,0,1,0,7,7,6,7,4,Other,PC,25.0,I play for fun,Other,Gold,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,23,Employed,Bachelor,USA,Singleplayer,1,31,3.0,USA
3,2,3,3,0,3,2,2,5,3,2,2,Other,PC,10.0,I play for fun,winning,Gold,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,Male,24,Student at college / university,Bachelor,Canada,Multiplayer,16,14,61.0,CAN
2,3,3,2,3,3,3,6,6,7,6,4,League of Legends,PC,25.0,I play for fun,improving,Unranked,5.0,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,5.0,Male,18,Student at school,High School,Latvia,Multiplayer,19,29,47.0,LVA
2,2,2,2,1,1,1,3,4,3,3,3,Other,PC,25.0,I play for fun,having fun,Unranked,5.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,20,Student at college / university,High School,USA,Singleplayer,11,16,15.0,USA
0,0,0,0,0,0,0,6,6,6,5,4,Other,PC,10.0,I play for fun,improving,Gold,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,Male,23,Student at college / university,Bachelor,Austria,Multiplayer,0,27,36.0,AUT
0,0,1,1,1,0,1,5,5,5,5,2,Other,PC,30.0,I play for fun,having fun,Unranked,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Male,21,Student at college / university,Bachelor,UK,Multiplayer,4,22,0.0,GBR
2,1,1,1,0,1,2,4,5,4,3,1,League of Legends,PC,20.0,I play for fun,improving,Gold,5.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,Male,19,Student at college / university,High School,Australia,Multiplayer,8,17,25.0,AUS
3,3,3,3,3,3,3,2,1,4,2,3,League of Legends,PC,40.0,I play for fun,winning,Gold,20.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Male,21,Student at school,High School,USA,Multiplayer,21,12,45.0,USA
0,0,0,0,0,0,0,5,5,6,4,5,Other,PC,5.0,I play for fun,having fun,Unranked,8.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,19,Student at college / university,High School,UK,Multiplayer,0,25,13.0,GBR
2,2,2,2,0,1,1,5,2,6,7,2,Other,"Console (PS, Xbox, ...)",25.0,I play for fun,having fun,Unranked,0.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,Female,34,Unemployed / between jobs,Masters,USA,Singleplayer,10,22,38.0,USA
1,2,2,0,2,1,1,2,3,5,7,7,Other,"Console (PS, Xbox, ...)",10.0,I play for fun,having fun,Unranked,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Male,19,Student at college / university,High School,USA,Singleplayer,9,24,5.0,USA
0,0,0,0,0,0,0,6,6,6,6,5,Other,Smartphone / Tablet,5.0,I play for fun,having fun,Unranked,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Male,50,Employed,Masters,USA,Singleplayer,0,29,7.0,JPN
3,3,3,3,2,3,1,2,3,4,3,3,League of Legends,PC,10.0,I play for fun,improving,Unranked,5.0,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,Female,20,Employed,High School,USA,Multiplayer,18,15,30.0,USA
2,1,1,1,1,1,0,5,4,2,4,5,Other,PC,20.0,I play for fun,having fun,Unranked,0.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,Female,21,Student at college / university,High School,Canada,Multiplayer,7,20,30.0,CAN
0,0,0,1,0,1,1,5,5,6,5,4,Diablo 3,PC,45.0,I play for fun,having fun,Unranked,20.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,Male,19,Student at college / university,High School,USA,Multiplayer,3,25,30.0,USA
